TRACTCE,COUNTYFP,BLKGRPCE,NatWalkInd,Prop_land_unprotected,D4B025,D4A,D2B_E5MIXA,D2A_JPHH,D1D,D1C5_ENT,D1B,E_PctLowWage,Prop_over3kmonth,R_PCTLOWWAGE,P_WrkAge
4401,81,2,14.0,1.0,0.492244463,203.85,0.608488683,0.140997831,16.83294824,0.247999237,63.45680489,0.6,0.17342452369320957,0.209580838,0.552
4500,81,1,15.83333333,0.9999999285370906,0.0,584.73,0.59493199,1.403887689,32.415578,2.486909423,35.6742869,0.176923077,0.25,0.156787763,0.634
4700,81,1,14.5,1.0,0.537607612,75.1,0.797886927,0.270710059,45.26264345,0.201840105,84.57100382,0.234972678,0.2398568019093079,0.198511166,0.678
4700,81,2,9.833333333,1.0,0.0,134.11,0.266548745,0.077745384,50.50049442,0.0,84.45349674,0.0375,0.24528301886792453,0.207214765,0.57
5000,81,1,9.666666667,1.0,0.769280079,0.0,0.0,0.0,0.850317528,0.0,2.602486981,0.0,0.5643564356435643,0.291666667,0.713
5100,81,1,17.5,1.0,1.0,167.64,0.835098827,1.023923445,57.15970329,3.380749154,81.38840556,0.207943925,0.31,0.219543147,0.703
5100,81,2,15.66666667,1.0,0.916949821,429.16,0.658147547,4.214545455,87.26820924,0.111667574,34.67278179,0.088006903,0.3075684380032206,0.195979899,0.758
5200,81,1,14.66666667,1.0,0.999999085,232.01,0.616076156,0.195530726,26.60120322,0.222604211,67.44907595,0.242857143,0.2136963696369637,0.204268293,0.625
5200,81,2,11.16666667,1.0,1.0,237.38,0.78761279,0.073490814,28.94020083,0.139807733,105.4849349,0.392857143,0.15374420145791914,0.208064516,0.684
5300,81,1,14.16666667,1.0,0.839039123,177.03,0.751122101,0.252314815,42.1849134,4.678548621,57.70209965,0.467889908,0.5445945945945946,0.175516224,0.85
5300,81,2,11.33333333,1.0,0.813432013,210.56,0.516624305,0.124584718,56.17068774,0.0,109.1055456,0.346666667,0.32167300380228137,0.171034483,0.729
5400,81,4,14.66666667,1.0,1.0,187.76,0.84293593,0.121323529,24.98113924,0.189251055,74.82986709,0.318181818,0.1800708143651998,0.178010471,0.648
5300,81,4,14.83333333,1.0,1.0,189.1,0.885108992,0.286738351,78.47015299,2.850005557,119.3835661,0.245833333,0.2774535809018568,0.167053364,0.664
5400,81,1,16.83333333,1.0,1.0,162.28,0.612689012,1.914572864,32.39549214,0.742286236,32.13038992,0.475065617,0.25742574257425743,0.209169054,0.701
5400,81,2,13.5,1.0,0.642685441,356.74,0.197065146,0.843373494,24.95783388,0.0,43.99414348,0.114285714,0.2005420054200542,0.192015209,0.656
5500,81,1,16.83333333,1.0,0.985606599,323.21,0.690623465,11.12290503,107.2897386,5.315718868,20.97026709,0.233299849,0.33372093023255817,0.188888889,0.73
5700,81,3,14.83333333,1.0,0.890506076,185.07,0.713395431,1.450899032,90.16637277,4.561536565,103.3948288,0.204957102,0.23039215686274508,0.21010333,0.736
5800,81,1,15.66666667,1.0,0.0,244.08,0.690282414,0.232142857,22.35675961,1.553841177,52.36676682,0.343195266,0.1970770593445527,0.187904968,0.545
5800,81,2,14.5,0.8283023789520774,0.0,203.85,0.388704475,1.146964856,27.25480812,2.027887509,43.59958144,0.111420613,0.2288372093023256,0.175280899,0.588
18300,81,1,11.33333333,0.9990928144311126,0.017073201,449.28,0.422667752,0.212053571,37.971319,0.0,61.55956262,0.242105263,0.2841121495327103,0.16194332,0.604
70700,81,3,14.83333333,1.0,0.0,237.38,0.775320057,0.114485981,21.02482916,0.586349817,49.08585613,0.204081633,0.3199658703071672,0.153297683,0.507
35800,81,2,15.0,1.0,0.0,402.34,0.11884171,0.51744186,18.69804442,0.214920051,38.4945691,0.097378277,0.19168734491315137,0.20625889,0.726
10400,81,2,14.16666667,1.0,0.333542296,154.23,0.648271933,0.036036036,17.83978024,0.0,63.80119257,0.5,0.18761274804570055,0.178861789,0.671
28300,81,3,19.16666667,1.0,0.861922571,107.29,0.808698893,1.241316271,133.9512426,15.0777092,169.3510816,0.282768778,0.13096774193548388,0.218309859,0.469
52500,81,1,12.83333333,1.0,0.0,201.17,0.680456012,0.06013363,21.98930412,0.217285614,55.1905459,0.259259259,0.27244094488188975,0.176470588,0.658
89200,81,5,16.16666667,1.0,0.0,347.35,0.756827944,2.283911672,16.11353784,4.82281281,14.18722486,0.377071823,0.3151635282457879,0.174242424,0.555
38100,81,2,15.0,1.0,0.086735057,210.56,0.828159239,0.06006006,40.25514929,0.0,183.6980263,0.225,0.08653278204370939,0.261072261,0.609
